"","avg_cloud_cover_4","avg_cloud_cover_8","avg_cloud_cover_10","date","rain","year","month","day"
"1",NA,5,NA,2021-11-23,0,2021,11,23
"2",NA,4.5,NA,2021-11-22,0,2021,11,22
"3",NA,5.5,NA,2021-11-21,0,2021,11,21
"4",NA,5.5,NA,2021-11-20,0,2021,11,20
"5",NA,4.5,NA,2021-11-19,0,2021,11,19
"6",NA,8,NA,2021-11-18,6.6,2021,11,18
"7",NA,4.5,NA,2021-11-17,0,2021,11,17
"8",NA,3.5,NA,2021-11-16,0,2021,11,16
"9",NA,4,NA,2021-11-15,47.8,2021,11,15
"10",NA,8,NA,2021-11-14,52.5,2021,11,14
"11",NA,6.5,NA,2021-11-13,19.9,2021,11,13
"12",NA,4.5,NA,2021-11-12,1,2021,11,12
"13",NA,8,NA,2021-11-11,13.3,2021,11,11
"14",NA,5.5,NA,2021-11-10,0.3,2021,11,10
"15",NA,6.5,NA,2021-11-09,15.2,2021,11,9
"16",NA,6.5,NA,2021-11-08,0.6,2021,11,8
"17",NA,6.5,NA,2021-11-07,6.2,2021,11,7
"18",NA,7.5,NA,2021-11-06,3.8,2021,11,6
"19",NA,6,NA,2021-11-05,4.9,2021,11,5
"20",NA,6,NA,2021-11-04,15.7,2021,11,4
"21",NA,8,NA,2021-11-03,10.7,2021,11,3
"22",NA,5,NA,2021-11-02,10.8,2021,11,2
"23",NA,4,NA,2021-11-01,6.6,2021,11,1
"24",NA,0,NA,2021-10-31,0,2021,10,31
"25",NA,1,NA,2021-10-30,0,2021,10,30
"26",NA,4,NA,2021-10-29,0,2021,10,29
"27",NA,7.5,NA,2021-10-28,18.7,2021,10,28
"28",NA,6,NA,2021-10-27,0.3,2021,10,27
"29",NA,6,NA,2021-10-26,4.4,2021,10,26
"30",NA,7.5,NA,2021-10-25,1.9,2021,10,25
"31",NA,5.5,NA,2021-10-24,3.5,2021,10,24
"32",NA,7.5,NA,2021-10-23,0.6,2021,10,23
"33",NA,4,NA,2021-10-22,4.8,2021,10,22
"34",NA,7,NA,2021-10-21,3.8,2021,10,21
"35",NA,7.5,NA,2021-10-20,7.7,2021,10,20
"36",NA,5.5,NA,2021-10-19,0,2021,10,19
"37",NA,5.5,NA,2021-10-18,0,2021,10,18
"38",NA,5,NA,2021-10-17,7.2,2021,10,17
"39",NA,8,NA,2021-10-16,43.3,2021,10,16
